"ticket_id","customer_id","order_id","category","priority","status","created_at","resolved_at","ticket_text"
"TKT_000001","CUST_01161","ORD_006481","Delivery Issue","Low","Open","2022-09-27T08:09:50","","The estimated delivery for ORD_006481 was 7 days ago. I've contacted the courier but they keep redirecting me to you. I am happy to provide any additional details you need."
"TKT_000002","CUST_03976","ORD_011237","Returns & Refunds","Low","Open","2024-08-28T22:09:57","","The return portal isn't accepting my order number ORD_011237. I've tried multiple times. Please process this manually. I have all receipts and documentation ready to send."
"TKT_000003","CUST_03385","ORD_018441","Returns & Refunds","Critical","In Progress","2024-11-30T23:04:08","","I was charged a return fee for order ORD_018441 but your website clearly states returns are free within 30 days. Please refund this charge."
"TKT_000004","CUST_01398","ORD_035156","Product Quality","Low","Closed","2023-10-13T23:13:41","2023-10-18T00:13:41","I've noticed a strong chemical smell from the item in order ORD_035156 that doesn't go away even after airing it out for several days."
"TKT_000005","CUST_02104","ORD_039368","Product Quality","Low","Resolved","2024-06-04T01:51:07","2024-06-06T01:51:07","Order ORD_039368 was missing several components that are listed as included. Can you send the missing parts or process a refund? I would appreciate a prompt response."
"TKT_000006","CUST_00072","ORD_008539","Billing","Low","Closed","2024-08-15T20:49:10","2024-08-18T04:49:10","I have a promotional discount code that wasn't applied to my order ORD_008539. Please apply the discount retroactively. Please resolve this as soon as possible."
"TKT_000007","CUST_04142","ORD_040708","Returns & Refunds","Low","Resolved","2023-12-11T22:53:02","2023-12-12T21:53:02","I'd like to return my purchase from order ORD_040708 as it doesn't fit. I've been trying to get a prepaid return label for 10 days but haven't heard back. This is quite urgent as I need it for a gift."
"TKT_000008","CUST_00825","ORD_044842","Billing","Medium","In Progress","2024-07-09T11:04:35","","I was not informed of the additional shipping charge applied to ORD_044842. The total was higher than shown at checkout. I have been a loyal customer for years and this is very disappointing."
"TKT_000009","CUST_03519","ORD_047103","Product Quality","Low","Closed","2024-10-01T19:56:20","2024-10-06T02:56:20","Order ORD_047103 was missing several components that are listed as included. Can you send the missing parts or process a refund? I am happy to provide any additional details you need."
"TKT_000010","CUST_02510","ORD_009547","Returns & Refunds","Low","Closed","2024-02-12T12:48:27","2024-02-17T01:48:27","I changed my mind about order ORD_009547 and would like to return it within the 30-day window. Please advise on the return procedure."
"TKT_000011","CUST_02529","ORD_005112","Technical Support","Medium","Resolved","2023-07-09T10:20:16","2023-07-10T11:20:16","I'm not receiving any order confirmation emails despite my email address being correct in my account settings."
"TKT_000012","CUST_02693","ORD_009608","Delivery Issue","Low","Closed","2023-06-19T10:58:18","2023-06-21T20:58:18","I urgently need order ORD_009608 for an event this weekend. Can you expedite shipping or arrange a same-day pickup? I would appreciate a prompt response."
"TKT_000013","CUST_01596","ORD_026523","Returns & Refunds","Low","Resolved","2024-03-14T00:00:24","2024-03-15T02:00:24","I need to exchange the item in order ORD_026523 for a different size. The current one is too small. I am happy to provide any additional details you need."
"TKT_000014","CUST_04785","ORD_026409","Returns & Refunds","Medium","Resolved","2023-10-04T10:28:36","2023-10-04T19:28:36","I returned the item from ORD_026409 in perfect condition with original packaging but received a reduced refund without any explanation. This is quite urgent as I need it for a gift."
