product_id,category,subcategory,product_name,brand,unit_cost,list_price,is_premium
PRD_001,Sports & Outdoors,Swimming,Trekking Pole Pair Collapsible,ItalCore,25.18,37.52,False
PRD_002,Home & Garden,Storage & Organisation,Stainless Steel Water Bottle 1L,VeloForce,22.26,33.12,False
PRD_003,Sports & Outdoors,Fitness Equipment,Yoga Mat Non-Slip Eco Cork Pro,AquaFlow,136.57,238.16,False
PRD_004,Home & Garden,Bedding & Bath,Mortar and Pestle Granite Mini,VeloForce,21.07,30.61,False
PRD_005,Food & Beverage,Wine & Spirits,Cold Brew Coffee Concentrate Classic,BellaModa,99.79,201.0,True
PRD_006,Sports & Outdoors,Swimming,Neoprene Dumbbell Pair 5kg v2,UrbanStyle,66.38,115.87,False
PRD_007,Electronics,Wearables,Noise Cancelling Headphones Pro,PrimaCasa,372.26,640.38,False
PRD_008,Electronics,Laptops,USB-C Hub 7-in-1 Lite,EcoRoots,282.05,410.69,False
PRD_009,Electronics,Laptops,Desktop Microphone Studio v2,UrbanStyle,441.01,630.71,False
PRD_010,Clothing & Apparel,Sportswear,Casual Denim Jacket Pro,NordLight,399.76,960.07,True
PRD_011,Clothing & Apparel,Accessories,Patterned Silk Scarf,NordLight,62.39,92.68,False
PRD_012,Clothing & Apparel,Accessories,Baseball Cap Embroidered Lite,DolceVita,8.24,12.82,False
PRD_013,Home & Garden,Storage & Organisation,Ceramic Planter Set 3-Piece Lite,PrimaCasa,178.99,392.35,True
PRD_014,Clothing & Apparel,Men's,Kids Dinosaur Print Hoodie,UrbanStyle,72.87,117.82,False
PRD_015,Clothing & Apparel,Footwear,Waterproof Trail Running Shoes Plus,UrbanStyle,61.4,108.54,False
PRD_016,Clothing & Apparel,Footwear,Dance Shoes Suede Sole v2,LunaFit,16.97,25.02,False
PRD_017,Electronics,Cameras,Multi-Port Fast Charger 65W Pro,ItalCore,140.55,203.51,False
PRD_018,Home & Garden,Storage & Organisation,Stackable Kitchen Organiser Elite,TuscanyHome,7.98,11.43,False
PRD_019,Electronics,Audio,Webcam HD 1080p Lite,CraftBrew,126.0,212.5,False
PRD_020,Sports & Outdoors,Outdoor Adventure,Trekking Pole Pair Collapsible v2,TechNova,103.38,157.14,False
PRD_021,Home & Garden,Bedding & Bath,Glass Meal Prep Containers 5-Pack v2,HighTrail,51.59,83.84,False
PRD_022,Electronics,Laptops,Mini Projector Portable v2,StudioVerde,267.77,389.07,False
PRD_023,Electronics,Laptops,Mechanical Pencil Digital Lite,JoviStyle,203.68,298.0,False
PRD_024,Home & Garden,Storage & Organisation,Succulent Grow Kit Complete v2,StudioVerde,5.59,9.65,False
