"review_id","order_id","customer_id","product_id","product_name","category","store_region","rating","sentiment_label","review_date","review_text","verified_purchase"
"REV_000001","ORD_019904","CUST_01372","PRD_156","Digital Photo Frame WiFi Plus","Electronics","Online","3","Neutral","2024-10-24","Acceptable quality — meets the basic requirements. OK product overall — a few minor issues but nothing major. Setup took longer than it should have.","True"
"REV_000002","ORD_001083","CUST_02851","PRD_003","Yoga Mat Non-Slip Eco Cork Pro","Sports & Outdoors","Umbria","1","Negative","2024-05-19","Still waiting for a resolution from customer services. Waterproofing failed completely in light rain. Package was left outside in the rain. The grip wore down after just a few sessions.","True"
"REV_000003","ORD_047891","CUST_04124","PRD_039","Stainless Pruning Shears Pro Elite","Home & Garden","Online","5","Positive","2024-01-01","Exactly as described — no surprises. Would definitely recommend to friends and family. This is now my go-to brand for this type of product. Highly satisfied with my purchase.","True"
"REV_000004","ORD_014222","CUST_02239","PRD_189","Oat Milk Barista Edition 1L Pro","Food & Beverage","Piemonte","3","Neutral","2022-10-06","Packaging was damaged and the contents had spilled. Average quality — neither impressed nor disappointed.","True"
"REV_000005","ORD_007907","CUST_02115","PRD_149","Succulent Grow Kit Complete Plus","Home & Garden","Piemonte","5","Positive","2022-05-04","Great gift idea — my friend was thrilled with it. Looks even better in person than in the photos. Highly satisfied with my purchase.","True"
"REV_000006","ORD_021226","CUST_00382","PRD_076","Relaxed Linen Shirt","Clothing & Apparel","Online","4","Positive","2022-11-16","Bought this at the Roma branch — great in-store experience. Perfect fit — I ordered my usual size and it was spot on. Very well packaged — no damage at all.","False"
"REV_000007","ORD_046693","CUST_02938","PRD_148","Indoor Plant Pot Terracotta Mini","Home & Garden","Lazio","5","Positive","2022-07-16","Bought this at the Roma branch — great in-store experience. Great seller — fast shipping and good communication. The size is perfect — fits exactly as I hoped.","True"
"REV_000008","ORD_027629","CUST_00114","PRD_158","Artisan Coffee Capsules 20-Pack Lite","Food & Beverage","Campania","5","Positive","2022-10-12","Exactly as described — no surprises. The flavour is absolutely delicious — rich and well-balanced. Very well packaged — no damage at all. Delivery was faster than expected — arrived the next day.","False"
"REV_000009","ORD_020192","CUST_01707","PRD_090","Sleeping Bag -10°C Mummy Pro","Sports & Outdoors","Online","4","Positive","2023-12-15","Exactly as described — no surprises. This is now my go-to brand for this type of product. Very well packaged — no damage at all. Would definitely recommend to friends and family.","True"
"REV_000010","ORD_002124","CUST_04943","PRD_165","Cold Brew Coffee Concentrate Pro","Food & Beverage","Online","4","Positive","2023-06-29","Delivery was faster than expected — arrived the next day. The aroma is wonderful — fills the whole kitchen. Customer service was helpful when I had a question. My family loved it, even the picky eaters.","True"
"REV_000011","ORD_000976","CUST_03978","PRD_002","Stainless Steel Water Bottle 1L","Home & Garden","Veneto","5","Positive","2023-06-27","Fast delivery to Verona — arrived the next day. Five stars without hesitation. This is now my go-to brand for this type of product.","True"
"REV_000012","ORD_003045","CUST_02703","PRD_094","Tailored Blazer Modern Fit Lite","Clothing & Apparel","Online","1","Negative","2023-04-27","Stitching came undone within a week of wearing. It took over 10 days to arrive, which is unacceptable.","True"
"REV_000013","ORD_006707","CUST_02759","PRD_186","Artisan Dark Chocolate 85% Cacao Lite","Food & Beverage","Lazio","3","Neutral","2023-05-16","Packaging was damaged and the contents had spilled. OK product overall — a few minor issues but nothing major.","True"
"REV_000014","ORD_047459","CUST_00327","PRD_189","Oat Milk Barista Edition 1L Pro","Food & Beverage","Sicilia","2","Negative","2022-03-06","Was left on the doorstep without any notification. Misleading ingredients list — contains allergens not clearly stated. The item arrived damaged — the packaging was completely crushed. Found a foreign object inside the packaging — extremely concerning.","True"
"REV_000015","ORD_049161","CUST_00948","PRD_126","Smart Fitness Tracker","Electronics","Online","5","Positive","2022-11-28","The battery life exceeded my expectations. The touch sensitivity is very responsive.","True"
"REV_000016","ORD_022116","CUST_00115","PRD_018","Stackable Kitchen Organiser Elite","Home & Garden","Online","5","Positive","2024-11-04","This is now my go-to brand for this type of product. Sturdy construction — feels like it will last for years. Very easy to clean and maintain.","True"
"REV_000017","ORD_024894","CUST_02660","PRD_084","Formal Oxford Shoes Classic","Clothing & Apparel","Trentino-Alto Adige","4","Positive","2023-11-07","The Trento staff recommended this and they were absolutely right. Exactly as described — no surprises. Great seller — fast shipping and good communication. Love the sustainable materials used.","True"
"REV_000018","ORD_036064","CUST_01685","PRD_034","Gaming Controller Wireless Plus","Electronics","Online","1","Negative","2023-03-28","The item arrived damaged — the packaging was completely crushed. Was left on the doorstep without any notification.","True"
"REV_000019","ORD_008077","CUST_03980","PRD_061","Platform Sandals Summer Classic","Clothing & Apparel","Online","5","Positive","2023-11-08","Washes well and hasn't shrunk or faded at all. Very well packaged — no damage at all.","True"
