order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,discount_pct,total_amount,channel,status,return_flag,shipping_days
ORD_000001,CUST_03517,PRD_052,STR_037,2024-05-16,1,37.44,0.25,28.08,In-Store,Cancelled,False,0
ORD_000002,CUST_02074,PRD_151,ONLINE,2024-01-28,2,129.73,0.0,259.46,Online,Returned,True,7
ORD_000003,CUST_02644,PRD_110,STR_012,2023-04-26,1,27.99,0.0,27.99,In-Store,Completed,False,0
ORD_000004,CUST_01189,PRD_200,ONLINE,2023-10-24,1,496.22,0.0,496.22,Online,Completed,False,5
ORD_000005,CUST_02635,PRD_060,ONLINE,2022-11-17,1,618.78,0.0,618.78,Online,Completed,False,3
ORD_000006,CUST_04980,PRD_172,ONLINE,2022-03-06,4,17.74,0.0,70.96,Online,Completed,False,7
ORD_000007,CUST_02623,PRD_051,STR_013,2024-08-24,2,1647.23,0.19,2668.51,In-Store,Completed,False,0
ORD_000008,CUST_01017,PRD_116,ONLINE,2024-11-01,2,69.04,0.0,138.08,Online,Cancelled,False,1
ORD_000009,CUST_04717,PRD_002,STR_030,2022-08-14,2,31.59,0.0,63.18,In-Store,Returned,True,0
ORD_000010,CUST_04322,PRD_011,ONLINE,2024-06-21,2,88.93,0.09,161.85,Online,Returned,True,3
ORD_000011,CUST_02599,PRD_193,ONLINE,2024-04-28,2,142.12,0.0,284.24,Mobile App,Cancelled,False,3
ORD_000012,CUST_03724,PRD_127,STR_008,2022-09-05,5,52.67,0.0,263.35,Online,Completed,False,7
ORD_000013,CUST_00086,PRD_036,ONLINE,2023-05-15,2,633.86,0.0,1267.72,Online,Completed,False,6
ORD_000014,CUST_03022,PRD_138,STR_001,2023-05-16,3,225.56,0.06,636.08,In-Store,Completed,False,0
ORD_000015,CUST_02493,PRD_020,STR_017,2024-05-20,2,153.52,0.0,307.04,In-Store,Returned,True,0
ORD_000016,CUST_01129,PRD_150,STR_030,2024-08-26,2,141.16,0.09,256.91,In-Store,Cancelled,False,0
ORD_000017,CUST_03386,PRD_164,STR_029,2022-05-22,1,410.02,0.1,369.02,In-Store,Completed,False,0
ORD_000018,CUST_02638,PRD_198,STR_047,2023-11-01,1,17.85,0.0,17.85,In-Store,Completed,False,0
ORD_000019,CUST_00679,PRD_091,ONLINE,2024-05-22,5,100.15,0.22,390.59,Online,Returned,True,1
ORD_000020,CUST_04052,PRD_016,STR_014,2024-06-20,1,24.94,0.0,24.94,In-Store,Completed,False,0
ORD_000021,CUST_03995,PRD_027,ONLINE,2022-07-25,5,42.08,0.0,210.4,Online,Cancelled,False,3
ORD_000022,CUST_03720,PRD_168,ONLINE,2023-09-22,1,6.43,0.0,6.43,Online,Returned,True,4
ORD_000023,CUST_04207,PRD_052,STR_050,2024-09-20,1,36.79,0.0,36.79,In-Store,Completed,False,0
ORD_000024,CUST_02517,PRD_148,ONLINE,2022-12-24,1,25.53,0.0,25.53,Mobile App,Completed,False,4
ORD_000025,CUST_01533,PRD_069,ONLINE,2023-05-19,2,487.47,0.0,974.94,Online,Completed,False,5
ORD_000026,CUST_00689,PRD_091,ONLINE,2024-07-12,2,98.78,0.0,197.56,Online,Cancelled,False,3
ORD_000027,CUST_03030,PRD_026,ONLINE,2022-05-16,2,41.51,0.0,83.02,Online,Cancelled,False,2
ORD_000028,CUST_04867,PRD_071,ONLINE,2024-09-23,2,51.12,0.0,102.24,Online,Cancelled,False,2
